"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NTC","2025-07-10","851","855","849","853.3","0.80 %","20,896.00"
"NTC","2025-07-09","843","850","842","846.55","0.18 %","11,850.00"
"NTC","2025-07-08","850","850","844","845.03","-0.44 %","16,713.00"
"NTC","2025-07-07","850","858.7","845","848.77","-0.29 %","12,972.00"
"NTC","2025-07-06","860","860","848.3","851.24","0.62 %","27,701.00"
"NTC","2025-07-03","861","866.6","844","846.03","-0.42 %","32,041.00"
"NTC","2025-07-02","841.2","850","841.1","849.64","1.13 %","14,608.00"
"NTC","2025-07-01","855.1","855.1","837","840.13","0.21 %","14,718.00"
"NTC","2025-06-30","840","846.4","838","838.34","-0.25 %","12,222.00"
"NTC","2025-06-29","840","848","838","840.48","0.07 %","11,399.00"
"NTC","2025-06-26","843","850","839","839.88","-0.38 %","13,345.00"
"NTC","2025-06-25","841","848","839.1","843.11","0.31 %","9,234.00"
"NTC","2025-06-24","850","852","840","840.52","-0.25 %","9,432.00"
"NTC","2025-06-23","840","850","838.1","842.62","0.51 %","5,467.00"
"NTC","2025-06-22","845","851","838","838.36","-0.39 %","26,643.00"
"NTC","2025-06-19","844.6","848","841","841.64","-0.35 %","17,033.00"
"NTC","2025-06-18","846.1","850","844.3","844.6","-0.29 %","19,247.00"
"NTC","2025-06-17","850","855","846.3","847.09","-0.34 %","10,717.00"
"NTC","2025-06-16","850","863","848","849.96","0.18 %","13,435.00"
"NTC","2025-06-15","870.9","870.9","848","848.46","-0.76 %","24,915.00"
"NTC","2025-06-12","851","867.9","849","854.96","0.12 %","8,879.00"
"NTC","2025-06-11","868","869","851","853.97","-1.61 %","18,021.00"
"NTC","2025-06-10","840","877.9","840","867.97","3.54 %","416,831.00"
"NTC","2025-06-09","850","851","835","838.29","-1.29 %","56,919.00"
"NTC","2025-06-08","872.4","872.4","847.8","849.24","-0.72 %","31,928.00"
"NTC","2025-06-05","867","867","854.3","855.37","-0.58 %","22,405.00"
"NTC","2025-06-04","862","865.6","858.9","860.4","-0.22 %","26,338.00"
"NTC","2025-06-03","866","866","861.2","862.32","-0.33 %","20,267.00"
"NTC","2025-06-02","875","875","860","865.14","-1.10 %","40,156.00"
"NTC","2025-05-28","875.2","885","870","874.75","-0.48 %","8,772.00"
"NTC","2025-05-27","880","880","875","878.94","-0.06 %","5,051.00"
"NTC","2025-05-26","888","897","879","879.45","-0.03 %","13,918.00"
"NTC","2025-05-25","888","889","878","879.71","-0.01 %","14,683.00"
"NTC","2025-05-22","879","888.4","871","879.77","0.77 %","129,924.00"
"NTC","2025-05-21","885.5","898.8","870","873.04","0.42 %","22,417.00"
